,event,gid,layer,cell,x,y,r,phi,trackIndex,centerX,centerY,radius,momx,momy,momz,chargeParticle,flightLength,currentTrackPID,rawDriftTime,creatorProcessturnID,isScondary
111,39,2086,21,154,38.6837,-14.271175,41.23220927346272,-0.35342927872731233,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,444.819,,-9999
112,39,2087,21,155,39.214150000000004,-12.741475,41.23220519688615,-0.31415984878626224,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,427.657,,-9999
113,39,2088,21,156,39.68415,-11.19208,41.2322012018386,-0.2748891746690199,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,412.829,,-9999
114,39,2089,21,157,40.09295,-9.625475,41.232201113669944,-0.23561966871968604,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,407.611,,-9999
115,39,2091,21,159,40.72455,-6.450135,41.232186629145986,-0.15707963126094945,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,304.108,,-9999
22,39,2133,22,41,2.5209149999999996,42.74685,42.82111859071088,1.5118914333021845,9,86.3628,15.2338,87.2905,82.0785,248.485,-82.9635,-1,463.774,-211,93.2721,Decay,0
101,39,2206,22,114,-14.029505,-40.4576,42.821074347860836,-1.9045912561766778,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,1480.96,,-9999
70,39,2241,22,149,36.94325,-21.6528,42.82111007905446,-0.5301434883165288,8,-156.733,-357.755,385.87,1002.3,-577.593,-848.241,1,537.814,211,203.768,Decay,0
116,39,2252,23,0,44.14165,-5.2245,44.44975438596371,-0.11780953312197373,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,396.34,,-9999
117,39,2253,23,1,44.3127,-3.4874849999999995,44.449723653980406,-0.07853981355851275,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,404.469,,-9999
118,39,2254,23,2,44.41545,-1.7450900000000003,44.44971920958107,-0.039269958001395294,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,415.815,,-9999
23,39,2293,23,41,3.4874849999999995,44.3127,44.449723653980406,1.4922565132363839,9,86.388,15.3323,87.2823,86.8494,246.832,-83.0302,-1,481.941,-211,36.7291,Decay,0
71,39,2401,23,149,37.899649999999994,-23.224899999999998,44.44974072064425,-0.5497780355186982,8,-153.975,-359.338,385.871,1004.73,-573.347,-848.233,1,558.696,211,138.937,Decay,0
119,39,2407,23,155,42.2742,-13.73572,44.449724291140434,-0.3141592605985508,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,430.925,,-9999
120,39,2408,23,156,42.78085,-12.065455,44.449705635465406,-0.27488951861504834,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,422.672,,-9999
121,39,2409,23,157,43.22155,-10.376585,44.44970079387178,-0.23561964394256046,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,415.492,,-9999
122,39,2410,23,158,43.59565,-8.671714999999999,44.449739481393195,-0.19634956404071233,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,400.779,,-9999
123,39,2411,23,159,43.9025,-6.953485,44.44975207911992,-0.15707990173778325,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,397.157,,-9999
24,39,2449,24,37,5.337099999999997,45.792950000000005,46.10291645994319,1.4547712734795872,9,86.382,15.3218,87.2805,91.5836,245.109,-83.0434,-1,499.127,-211,11.2588,Decay,0
94,39,2467,24,55,-23.17015,39.85755,46.102929874629446,2.0973702649744412,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,676.584,,-9999
72,39,2567,24,155,37.63375,-26.63045,46.1029283914265,-0.6158227602142635,8,-151.097,-360.98,385.878,1007.15,-569.128,-848.202,1,578.395,211,83.9208,Decay,0
